INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
Tramvay Konak,25920,17815,696,1066,20,4,1393,9224;Tramvay Konak;25920;17815;696;1066;20;4;1393;9224
BİSİM,2,5,0,0,0,0,0,0;BİSİM;2;5;0;0;0;0;0;0
Eshot,308916,254669,5895,13506,130,159,21826,159201;Eshot;308916;254669;5895;13506;130;159;21826;159201
İzban,110341,65141,2320,3173,224,4,5069,33214;İzban;110341;65141;2320;3173;224;4;5069;33214
Izdeniz,19250,7435,303,647,238,0,835,5175;Izdeniz;19250;7435;303;647;238;0;835;5175
Izulas,71144,58153,1202,3086,28,34,4510,38967;Izulas;71144;58153;1202;3086;28;34;4510;38967
Metro,119365,89302,2245,4514,269,19,6986,38583;Metro;119365;89302;2245;4514;269;19;6986;38583
NOSTALJİK TRAMVAY,6,4,0,0,2,0,0,0;NOSTALJİK TRAMVAY;6;4;0;0;2;0;0;0
Seferihisar Mot. Taş. Kooperat,3806,2182,104,149,1,0,284,2649;Seferihisar Mot. Taş. Kooperat;3806;2182;104;149;1;0;284;2649
Teleferik,26,22,1,0,0,0,0,0;Teleferik;26;22;1;0;0;0;0;0
Tramvay Karşıyaka,11651,6666,216,649,21,0,324,6748;Tramvay Karşıyaka;11651;6666;216;649;21;0;324;6748
Tramvay Konak,28518,19786,667,1258,42,5,1506,11114;Tramvay Konak;28518;19786;667;1258;42;5;1506;11114
BİSİM,7,4,0,0,0,0,0,0;BİSİM;7;4;0;0;0;0;0;0
Eshot,294101,247897,5715,12383,117,150,21474,144295;Eshot;294101;247897;5715;12383;117;150;21474;144295
İzban,106248,63197,2252,3242,177,10,4924,32520;İzban;106248;63197;2252;3242;177;10;4924;32520
Izdeniz,15929,5728,269,554,230,3,757,4334;Izdeniz;15929;5728;269;554;230;3;757;4334
Izulas,66674,55605,1175,2730,18,40,4351,34007;Izulas;66674;55605;1175;2730;18;40;4351;34007
Metro,115983,85738,2179,4350,302,20,7156,38595;Metro;115983;85738;2179;4350;302;20;7156;38595
NOSTALJİK TRAMVAY,11,3,1,0,0,0,0,0;NOSTALJİK TRAMVAY;11;3;1;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,3774,2106,142,134,2,0,260,2389;Seferihisar Mot. Taş. Kooperat;3774;2106;142;134;2;0;260;2389
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,8483,5186,186,439,11,0,299,4032;Tramvay Karşıyaka;8483;5186;186;439;11;0;299;4032
Tramvay Konak,26732,18904,657,1137,31,6,1433,9945;Tramvay Konak;26732;18904;657;1137;31;6;1433;9945
Eshot,295834,247912,5548,12452,158,131,21259,147605;Eshot;295834;247912;5548;12452;158;131;21259;147605
İzban,109318,65153,2328,3067,274,6,4863,32004;İzban;109318;65153;2328;3067;274;6;4863;32004
Izdeniz,18207,7351,302,664,378,1,799,5100;Izdeniz;18207;7351;302;664;378;1;799;5100
Izulas,68889,55818,1172,3016,22,34,4415,36743;Izulas;68889;55818;1172;3016;22;34;4415;36743
Metro,118134,90785,2437,4481,287,22,7167,38480;Metro;118134;90785;2437;4481;287;22;7167;38480
NOSTALJİK TRAMVAY,13,12,0,0,0,0,0,0;NOSTALJİK TRAMVAY;13;12;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4003,2213,114,177,0,1,278,2663;Seferihisar Mot. Taş. Kooperat;4003;2213;114;177;0;1;278;2663
Teleferik,27,26,0,0,0,0,0,0;Teleferik;27;26;0;0;0;0;0;0
Tramvay Karşıyaka,9416,6200,202,459,19,0,258,4769;Tramvay Karşıyaka;9416;6200;202;459;19;0;258;4769
Tramvay Konak,27565,20361,585,1139,37,4,1497,10407;Tramvay Konak;27565;20361;585;1139;37;4;1497;10407
Eshot,233734,139838,2284,9451,183,109,14961,108611;Eshot;233734;139838;2284;9451;183;109;14961;108611
İzban,91129,47833,1232,2327,253,4,3041,24491;İzban;91129;47833;1232;2327;253;4;3041;24491
Izdeniz,17995,8243,368,597,611,4,277,4315;Izdeniz;17995;8243;368;597;611;4;277;4315
Izulas,66168,39496,554,2565,22,30,3704,31185;Izulas;66168;39496;554;2565;22;30;3704;31185
Metro,93787,59003,1361,3369,406,14,3334,26203;Metro;93787;59003;1361;3369;406;14;3334;26203
NOSTALJİK TRAMVAY,61,72,6,1,4,0,0,4;NOSTALJİK TRAMVAY;61;72;6;1;4;0;0;4
Seferihisar Mot. Taş. Kooperat,3546,1790,60,129,4,0,221,1934;Seferihisar Mot. Taş. Kooperat;3546;1790;60;129;4;0;221;1934
Teleferik,78,40,0,1,0,0,0,0;Teleferik;78;40;0;1;0;0;0;0
Tramvay Karşıyaka,10264,7177,227,424,25,0,259,4424;Tramvay Karşıyaka;10264;7177;227;424;25;0;259;4424
Tramvay Konak,24426,16826,457,850,80,5,894,7886;Tramvay Konak;24426;16826;457;850;80;5;894;7886
Eshot,166011,104461,1396,6099,176,92,9930,83745;Eshot;166011;104461;1396;6099;176;92;9930;83745
İzban,71474,39074,793,1586,225,6,2216,18593;İzban;71474;39074;793;1586;225;6;2216;18593
Izdeniz,12552,6072,181,262,671,1,156,2546;Izdeniz;12552;6072;181;262;671;1;156;2546
Izulas,44692,29050,252,1561,31,27,2569,22837;Izulas;44692;29050;252;1561;31;27;2569;22837
Metro,61046,43318,620,1718,358,8,2090,16240;Metro;61046;43318;620;1718;358;8;2090;16240
NOSTALJİK TRAMVAY,72,18,1,0,0,0,0,1;NOSTALJİK TRAMVAY;72;18;1;0;0;0;0;1
Seferihisar Mot. Taş. Kooperat,3122,1578,39,107,4,1,141,1767;Seferihisar Mot. Taş. Kooperat;3122;1578;39;107;4;1;141;1767
Teleferik,121,52,3,1,0,0,0,0;Teleferik;121;52;3;1;0;0;0;0
Tramvay Karşıyaka,8069,5793,126,295,31,0,205,3095;Tramvay Karşıyaka;8069;5793;126;295;31;0;205;3095
Tramvay Konak,15463,11695,228,442,47,2,611,4561;Tramvay Konak;15463;11695;228;442;47;2;611;4561
Eshot,311829,266882,5854,13396,147,169,22149,167925;Eshot;311829;266882;5854;13396;147;169;22149;167925
İzban,102424,55402,2055,3042,280,7,4478,31609;İzban;102424;55402;2055;3042;280;7;4478;31609
Izdeniz,19500,7701,288,801,263,0,884,5567;Izdeniz;19500;7701;288;801;263;0;884;5567
Izulas,71816,56340,1200,3275,20,43,4502,41105;Izulas;71816;56340;1200;3275;20;43;4502;41105
Metro,122783,88903,2223,4799,340,22,7284,42302;Metro;122783;88903;2223;4799;340;22;7284;42302
NOSTALJİK TRAMVAY,15,6,0,0,0,0,0,0;NOSTALJİK TRAMVAY;15;6;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4200,2378,122,154,3,0,280,2733;Seferihisar Mot. Taş. Kooperat;4200;2378;122;154;3;0;280;2733
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,7893,5103,177,376,9,0,241,4232;Tramvay Karşıyaka;7893;5103;177;376;9;0;241;4232
Tramvay Konak,25611,16916,582,1202,29,8,1360,10415;Tramvay Konak;25611;16916;582;1202;29;8;1360;10415
Eshot,298096,254713,5707,12387,147,118,21850,149188;Eshot;298096;254713;5707;12387;147;118;21850;149188
İzban,115493,64092,2449,3258,222,12,5445,34968;İzban;115493;64092;2449;3258;222;12;5445;34968
Izdeniz,16836,6445,283,610,250,0,831,4519;Izdeniz;16836;6445;283;610;250;0;831;4519
Izulas,69298,54463,1215,2970,26,27,4428,37457;Izulas;69298;54463;1215;2970;26;27;4428;37457
Metro,115067,85445,2218,4182,260,21,7138,38503;Metro;115067;85445;2218;4182;260;21;7138;38503
NOSTALJİK TRAMVAY,17,1,0,0,0,0,0,0;NOSTALJİK TRAMVAY;17;1;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,3858,2239,132,154,1,0,280,2509;Seferihisar Mot. Taş. Kooperat;3858;2239;132;154;1;0;280;2509
Teleferik,16,13,0,0,0,0,0,0;Teleferik;16;13;0;0;0;0;0;0
Tramvay Karşıyaka,10142,6558,191,535,18,0,283,4858;Tramvay Karşıyaka;10142;6558;191;535;18;0;283;4858
Tramvay Konak,28877,19255,672,1317,47,4,1559,11221;Tramvay Konak;28877;19255;672;1317;47;4;1559;11221
Eshot,307495,249516,5907,13523,149,163,22134,161868;Eshot;307495;249516;5907;13523;149;163;22134;161868
İzban,110109,59758,2409,3182,245,5,5040,33766;İzban;110109;59758;2409;3182;245;5;5040;33766
Izdeniz,19226,8271,344,741,350,3,852,5310;Izdeniz;19226;8271;344;741;350;3;852;5310
Izulas,70167,52837,1236,3090,20,38,4509,39804;Izulas;70167;52837;1236;3090;20;38;4509;39804
Metro,118189,85634,2295,4506,308,10,7105,39491;Metro;118189;85634;2295;4506;308;10;7105;39491
NOSTALJİK TRAMVAY,15,15,0,0,0,0,0,0;NOSTALJİK TRAMVAY;15;15;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,3969,2281,102,164,0,0,280,2550;Seferihisar Mot. Taş. Kooperat;3969;2281;102;164;0;0;280;2550
Teleferik,30,15,0,0,0,0,0,0;Teleferik;30;15;0;0;0;0;0;0
Tramvay Karşıyaka,11741,7034,249,647,23,0,319,6558;Tramvay Karşıyaka;11741;7034;249;647;23;0;319;6558
Tramvay Konak,30913,20351,742,1310,50,11,1732,11866;Tramvay Konak;30913;20351;742;1310;50;11;1732;11866
Eshot,303943,225810,5822,13396,155,116,22034,160680;Eshot;303943;225810;5822;13396;155;116;22034;160680
İzban,110182,56653,2363,3299,297,6,4791,35098;İzban;110182;56653;2363;3299;297;6;4791;35098
Izdeniz,18586,7905,306,716,292,0,793,5260;Izdeniz;18586;7905;306;716;292;0;793;5260
Izulas,69454,48604,1182,3011,11,39,4410,39174;Izulas;69454;48604;1182;3011;11;39;4410;39174
Metro,117213,81254,2307,4591,292,18,7044,40050;Metro;117213;81254;2307;4591;292;18;7044;40050
NOSTALJİK TRAMVAY,9,5,0,0,0,0,0,0;NOSTALJİK TRAMVAY;9;5;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4001,2187,114,168,5,0,268,2658;Seferihisar Mot. Taş. Kooperat;4001;2187;114;168;5;0;268;2658
Teleferik,13,19,0,1,0,0,0,0;Teleferik;13;19;0;1;0;0;0;0
Tramvay Karşıyaka,9380,5777,192,466,31,0,270,4399;Tramvay Karşıyaka;9380;5777;192;466;31;0;270;4399
Tramvay Konak,27793,17347,604,1271,51,10,1521,11002;Tramvay Konak;27793;17347;604;1271;51;10;1521;11002
Eshot,296236,281871,5328,12408,154,139,20748,150188;Eshot;296236;281871;5328;12408;154;139;20748;150188
İzban,106190,65591,2294,3036,286,5,4719,31102;İzban;106190;65591;2294;3036;286;5;4719;31102
Izdeniz,17669,8783,336,666,328,0,777,4497;Izdeniz;17669;8783;336;666;328;0;777;4497
Izulas,69224,64803,1156,2868,19,36,4237,37366;Izulas;69224;64803;1156;2868;19;36;4237;37366
Metro,112167,92208,2142,4157,301,12,6673,36654;Metro;112167;92208;2142;4157;301;12;6673;36654
NOSTALJİK TRAMVAY,12,27,0,0,2,0,0,0;NOSTALJİK TRAMVAY;12;27;0;0;2;0;0;0
Seferihisar Mot. Taş. Kooperat,4009,2563,111,127,5,0,297,2716;Seferihisar Mot. Taş. Kooperat;4009;2563;111;127;5;0;297;2716
Teleferik,14,5,0,0,0,0,0,0;Teleferik;14;5;0;0;0;0;0;0
Tramvay Karşıyaka,9730,9007,236,486,24,0,248,4118;Tramvay Karşıyaka;9730;9007;236;486;24;0;248;4118
